audit_kind,item_id,entity_type,name,description,evidence_text,confidence,years,chunk_id,book,chapter,section,pages,source_files,chunk_text_preview,is_valid,type_correct,evidence_support,direction_correct,notes
entity,lichsu_12_s293_bai24_sec3_001:e3,Concept,khắc phục hậu quả chiến tranh,Nhiệm vụ khắc phục hậu quả chiến tranh,khắc phục hâu quả chiến tranh,0.95,[],lichsu_12_s293_bai24_sec3_001,lichsu_12,Bài 24,"CỦA CUỘC KHÁNG CHIẾN CHÔNG MÌ, CỨU NƯỚC","[197, 199]","[""data/corpus/lichsu_12/lichsu_12.pdf_197.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_199.jpg.txt""]","trọng quốc tế to lớn và có tính thời đại sâu sắc"" (1) Đảng Cộng sản Việt Nam, Báo cáo chính trị của Ban Chấp hành Trung ương Đẳng tại Đại hội đai biểu toàn quốc lần thứ IV, NXB Sư thất, H. 5 6 6. CỦA CUỘC KHÁNG CHIẾN CHÔNG MÌ, CỨU NƯỚC NĂM 1975 Sau thắng lơi của cuốc kháng chiên chống Mi, cứu nước năm 1975 nhiêm vụ của cách mạng Việt Nam trong năm đầu là khắc phục hâu quả chiến tranh, khôi phuc và phát triển kinh lê hai miền hoàn thành thống nhất đất nước về mặt nhà nước",,,,,
entity,lichsu_12_s124_bai12_sec7_001:e5,Concept,"chính sách chính trị, văn hoá, giáo dục",Các chính sách được thực dân Pháp thi hành sau chiến tranh.,"Chính sách chính trị, văn hoá, giáo dục của thực dân Pháp",0.9,[],lichsu_12_s124_bai12_sec7_001,lichsu_12,Bài 12,"2. Chính sách chính trị, văn hoá, giáo dục của thực dân Pháp","[76, 77]","[""data/corpus/lichsu_12/lichsu_12.pdf_76.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_77.jpg.txt""]","toàn bộ nền kinh tế Đông Dương phát hành tiên giay và cho vay lài Thực dân Pháp còn thi hành các biên pháp tăng thuế, do vậy, ngân sách Đông Dương thu được năm 1930 tăng gấp ba lần so với năm 1912 2. Chính sách chính trị, văn hoá, giáo dục của thực dân Pháp Sau chiến tranh, cùng với việc đẩy manh khai thác thuộc địa, thực dân Pháp tăng cường chính sách cai trị ở Đông Dương, Bộ máy quân sự, cảnh sát, mật thám, nhà tù được tăng cường và hoạt động ráo riết Thực dân Pháp thi hành một vài cải cách ch",,,,,
entity,lichsu_12_s208_bai18_sec14_002:e10,Concept,Chiến tranh du kích,"Hình thức chiến tranh phát triển mạnh ở Bình - Trị Thiên, Liên khu V và Nam Bộ",Chiến tranh du kích phát triển manh,0.95,[],lichsu_12_s208_bai18_sec14_002,lichsu_12,Bài 18,2. Chiến dịch Biên giới thu - đông năm 1950,"[135, 136, 137, 138]","[""data/corpus/lichsu_12/lichsu_12.pdf_135.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_136.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_137.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_138.jpg.txt""]","13 - 10 - 1950, rút khỏi Na Sân Trong khi đó, cuộc hành quân của địch lên Thái Nguyên cũng bị quân ta chận đánh Quân Pháp trở nên hoảng loạn, phải rút chay, Đường số 4 được giải phóng ngày 22 10 1950. Quân ta tấn công Quân địch rút chạy Quân ta chăn đánh, truy kích địch Quân địch tiến đánh HA GIANG Hanh lang Đông Tây của địch 4000 Đường giao thông và số dương CAO BĂNG Biên giới quốc gia Đông Khê t Thất Khê TRUNG QUỐC BẮC KAN C Na Sâm TUYÊN QUANG LẠNG SƠN THÁI NGUYÊN Đình Lập VINH PHÚ THO YÊN SLE",,,,,
entity,lichsu_10_s159_001:e7,Concept,Văn học chữ Nôm,lĩnh vực phát triển mạnh mẽ,Văn học chiến chữ Nôm lại phát triển mạnh mẽ,0.95,[],lichsu_10_s159_001,lichsu_10,Bài,4. Đất nước ở nửa đầu thế kỉ xix,"[133, 134, 135]","[""data/corpus/lichsu_10/lichsu_10.pdf_133.jpg.txt"", ""data/corpus/lichsu_10/lichsu_10.pdf_134.jpg.txt"", ""data/corpus/lichsu_10/lichsu_10.pdf_135.jpg.txt""]","nước phong kiến ở cả hai miền đều sụp đổ trước sự tấn công của phong trào Tây Sơn, đất nước bước đầu thống nhất lại nhưng các vương triều Tây Sơn, được thành lập sau thắng lợi, không đủ sức duy trì. 4. Đất nước ở nửa đầu thế kỉ xix Thừa hưởng những công lao to lớn của phong trào Tây Sơn, nhà Nguyễn đã chi nhu làm chủ được cả nước với một chính quyền quân chủ chuyên chế phong kiến. Nhà nước được củng cổ nhưng lại chủ trương ""đóng cửa? trong hoàn cảnh thế giới đã đổi thay. Một số chính sách kinh t",,,,,
entity,lichsu_11_s43_bai10_sec10_001:e9,Concept,xây dựng chủ nghĩa xã hội,"Công cuộc đạt được nhiều thành tựu to lớn qua hai kế hoạch 5 năm, đưa Liên Xô từ nước nông nghiệp lạc hậu thành cường quốc công nghiệp xã hội chủ nghĩa",công cuộc xây dưng chủ nghĩa xã hội đã đạt được nhiều thành tưu to lớn,0.9,[],lichsu_11_s43_bai10_sec10_001,lichsu_11,Bài 10,8. Gru di a,"[55, 56, 57, 58]","[""data/corpus/lichsu_11/lichsu_11.pdf_55.jpg.txt"", ""data/corpus/lichsu_11/lichsu_11.pdf_56.jpg.txt"", ""data/corpus/lichsu_11/lichsu_11.pdf_57.jpg.txt"", ""data/corpus/lichsu_11/lichsu_11.pdf_58.jpg.txt""]","xã hôi với nhiêm vu trong tâm là công nghiệp hoá xã hôi chu nghĩa (1) Đến năm 1940, Liên Xô gồm 15 nước công hoa I L is O in c m C Y NHAT B L RAN MÔNG CỔ ÊÊ TIÊN TÁP GA-NI-XTAN RUNG QUỐC 1.E xto-ni-a 8. Gru di a 10 Tuốc mê-ni a 12 Tat-gi-ki-xtan Liên Xô thực hiện nhiệm vụ công nghiệp hoá theo đường lối ưu tiên phát triển công nghiệp nặng - công nghiệp chế tạo máy móc và nông cụ, công nghiệp năng lượng (điện, than, dầu mỏ..), công nghiệp khai khoáng, công nghiệp quốc phòng - Trong 2 năm đầu (1926",,,,,
entity,lichsu_11_s25_bai7_sec2_002:e5,Concept,học thuyết chủ nghĩa xã hội khoa học,"Học thuyết ra đời dựa trên phong trào đấu tranh của công nhân, do Các Mác và Phn đrích Ang-ghen sáng lập.","là cơ sở cho sự ra đời của học thuyết chủ nghĩa xã hôi khoa học, mà Các Mác Mác và Phn đrích Ang-ghen là những người sáng lập.",0.9,[],lichsu_11_s25_bai7_sec2_002,lichsu_11,Bài 7,LỊCH SƯ THẾ GIỚI CẦN ĐAI,"[37, 38, 39, 44, 45]","[""data/corpus/lichsu_11/lichsu_11.pdf_37.jpg.txt"", ""data/corpus/lichsu_11/lichsu_11.pdf_38.jpg.txt"", ""data/corpus/lichsu_11/lichsu_11.pdf_39.jpg.txt"", ""data/corpus/lichsu_11/lichsu_11.pdf_44.jpg.txt"", ""data/corpus/lichsu_11/lichsu_11.pdf_45.jpg.txt""]","những mức đô khác nhau đều tao điều kiên cho chủ nghĩa tư ban phát triên Thứ Thứ hai, những năm cuối thế kỉ XIX đầu thế kỉ XX là thời kì phát triển nha nha nhanh chóng và manh mẽ của chủ nghĩa tư ban. Đây là thời kì chủ nghĩa tư ban trong từ giai đoan tư do canh tranh chuyển dần sang giai đoan độc quyền, tức chủ nghĩa để quốc, Chủ nghĩa đế quốc có những đác trưng riêng, song không thay người đối bản chất của chủ nghĩa tư bản mà chỉ làm cho các mâu thuần vốn có và mới nảy sinh thêm trầm trong Thứ",,,,,
entity,lichsu_12_s312_bai26_sec7_003:e9,Concept,"phương hướng, nhiệm vụ, mục tiêu phát triển kinh tế - xã hội 5 năm",Kế hoạch phát triển kinh tế - xã hội trong 5 năm.,"phương hướng, nhiêm vu, mục tiêu phát triển kinh tế - xã hội 5 năm",0.85,[],lichsu_12_s312_bai26_sec7_003,lichsu_12,Bài 26,Nam A (ASEAN),"[209, 210, 211, 212, 213, 214, 215, 216]","[""data/corpus/lichsu_12/lichsu_12.pdf_209.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_210.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_211.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_212.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_213.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_214.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_215.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_216.jpg.txt""]","thành phố đầu thực hiện chương trình phổ (khánh thành ngày 21 - 50 0 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 cấp giáo dục Trung học cơ sở. Trong 5 năm, có khoảng 6,1 triêu người có việc làm, bình quân mỗi năm thu hút 1,2 triêu người Đến năm 2000, nước ta có quan hệ thương mại với hơn 140 nước, quan hê đầu tư với gần 70 nước và vùng lãnh thổ, thu hút được nhiều nguồn vốn đầu tư từ nước ngoài"" Những thành tựu, ưu điểm trong 5 năm 1996 -",,,,,
entity,lichsu_11_s36_bai10_sec3_001:e8,Concept,công nghiệp hoá xã hội chủ nghĩa,Nhiệm vụ trọng tâm trong thời kì xây dựng chủ nghĩa xã hội của Liên Xô,công nghiệp hoá xã hôi chu nghĩa,0.9,[],lichsu_11_s36_bai10_sec3_001,lichsu_11,Bài 10,CHI CÔNG CUỘC XÂY DỤNG CHỦ NGHĨA XÃ HỘI Ở LIÊN XÔ (1941),"[53, 54, 55, 56]","[""data/corpus/lichsu_11/lichsu_11.pdf_53.jpg.txt"", ""data/corpus/lichsu_11/lichsu_11.pdf_54.jpg.txt"", ""data/corpus/lichsu_11/lichsu_11.pdf_55.jpg.txt"", ""data/corpus/lichsu_11/lichsu_11.pdf_56.jpg.txt""]","Xô, giai cấp công nhân quốc tế và các dân tộc bi áp bức trên toàn thế giới Sau khi Lê-nin mất, Xta-lin lên thay, tiếp tục lãnh đạo công cuộc xây dựng và bảo về đất nước Liên Xô trong những năm 1953. CHI CÔNG CUỘC XÂY DỤNG CHỦ NGHĨA XÃ HỘI Ở LIÊN XÔ (1941) 1 Những kế hoạch 5 năm đầu tiên Sau khi hoàn thành công cuộc khôi phục kinh tế, nhân dân Liên Xô bước vào thời kì xây dựng chủ nghĩa xã hôi với nhiêm vu trong tâm là công nghiệp hoá xã hôi chu nghĩa (1) Đến năm 1940, Liên Xô gồm 15 nước công ho",,,,,
entity,lichsu_12_s156_bai15_sec6_003:e4,Concept,"cuộc vận động dân sinh, dân chủ",Phong trào lớn mà báo chí cách mạng trở thành mũi xung kích,"cuộc vận động dân sinh, dân chủ",0.95,[],lichsu_12_s156_bai15_sec6_003,lichsu_12,Bài 15,1. Hội nghị Ban Chấp hành Trung ướng Đảng Cộng Dương,"[98, 99, 100, 101]","[""data/corpus/lichsu_12/lichsu_12.pdf_100.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_101.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_98.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_99.jpg.txt""]","ai, bênh vực quyền lợi của nhân dân lao động Ch cầu tranh trên lĩnh vực báo chí Đảng đã xuất bản nhiều tờ báo công khai ở các thành phố lớn trong nước như Tiền phong, Dân chúng, Lao đông, Tin tức v.v. Báo chí cách mạng trỏ thành mũi xung kích trong những phong trào lớn của cuộc vận động dân sinh, dân chủ thời kì 1936 - 1939 Trong t tư tưởng, Đông đảo các tầng lớp nhân dân được giác ngộ về con đường cách mạng của Đảng",,,,,
entity,lichsu_12_s125_bai12_sec8_001:e8,Concept,giai cấp nông dân,"Một giai cấp xã hội ở Việt Nam, bị đế quốc, phong kiến thống trị tước đoạt ruộng đất và bần cùng hóa.",Giai cấp nông dân,0.9,[],lichsu_12_s125_bai12_sec8_001,lichsu_12,Bài 12,3. Những chuyến biến mới về kinh tế và giai cấp xã hội ở Việt Nam,"[77, 78, 79]","[""data/corpus/lichsu_12/lichsu_12.pdf_77.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_78.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_79.jpg.txt""]","vào Viết Nam, tao ra sư chuyển biến mới về nội dung, phương pháp tư duy sáng tác Các yếu tổ văn hoá truyền thống, văn hoá mới liến bộ và văn hoa nô dịch cùng tồn tại, đan xen, đấu tranh với nhau. 3. Những chuyến biến mới về kinh tế và giai cấp xã hội ở Việt Nam Và Với cuộc khai thác thuộc địa lân thứ hai, nên kinh lế của tư bán Pháp ở Đông Dương có bước phát triển mới, Trong quá trình đầu tư vốn và mở rộng khai thác 19 thuộc địa, thực dân Pháp có đầu tư kĩ thuật và nhân lực, song rất hạn chế. Cơ",,,,,
entity,lichsu_12_s99_bai9_sec6_002:e10,Concept,cuộc chạy đua vũ trang,Nguyên nhân khiến hai nước Xô - Mĩ suy giảm thế mạnh,cuốc chay đua vũ trang kéo dài hơn bốn thập niên,0.95,[],lichsu_12_s99_bai9_sec6_002,lichsu_12,Bài 9,VÀ THI - XU THẾ HOÀ HOÁN ĐÔNG - TÂY VÀ CHIẾN TRANH LẠNH CHÂM DỨT,"[61, 62, 63, 64]","[""data/corpus/lichsu_12/lichsu_12.pdf_61.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_62.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_63.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_64.jpg.txt""]",". vũ khí tiền công chiến lược Cùng với các sự kiên trên, từ đầu những năm 70, hai siêu cường Xô - Mi đã tiến hành những cuộc gáp cấp cao, nhất là từ khi M. Goócbachốp lên cầm quyền ở Liên Xô năm 1985. Nhiều văn kiên hợp tác về kinh tế và khoa học - kĩ thuật đã được kí kết giữa hai nước, nhưng trong tâm là những thoả thuận về việc thủ tiêu các then lửa tầm trung ở châu Âu, cất giảm vũ khí chiến lược cũng như hạn chế cuộc chay đua vũ trang giữa hai nước. Tháng 12 ? 1989, trong cuộc gắp không chính",,,,,
entity,lichsu_10_s158_002:e6,Concept,quan hệ sản xuất phong kiến,Sự phát triển và thống trị của những quan hệ sản xuất phong kiến đã dẫn đến sự suy thoái của nhà nước quân chủ trung ương tập quyền,Sự phát triển và thống trị của những quan hệ sản xuất phong kiến,0.9,[],lichsu_10_s158_002,lichsu_10,Bài,1. Thời kĩ dựng nước đầu tiên,"[133, 134, 135]","[""data/corpus/lichsu_10/lichsu_10.pdf_133.jpg.txt"", ""data/corpus/lichsu_10/lichsu_10.pdf_134.jpg.txt"", ""data/corpus/lichsu_10/lichsu_10.pdf_135.jpg.txt""]","n xuất. Chinh Công thương nghiệp phát triển đa dạng, Sản phẩm thủ công như tơ lụa, gốm nha và sa, đồ vàng bạc v.v.. có chất lượng cao, mẫu mã đẹp, thương nhân nước ngoài. Mạng lưới chợ làng rộng khắp. Kinh thành Thăng Long trở thành Trong một đô thị phồn thịnh với 36 phố phường - Thuyền buốn Trung Quốc và các nước thiến phía nam thường xuyên qua lại trao đổi buôn bán Thiện Năm 1070, nền giáo dục Đại Việt chính thức ra đời và ngày càng phát triển; vừa đào tạo các bậc ""hiền tài"""" cho đất nước vừa ",,,,,
entity,lichsu_12_s303_bai25_sec5_002:e3,Concept,cơ cấu kinh tế mới,"Mục tiêu cơ bản trong kế hoạch 5 năm, chủ yếu là cơ cấu công - nông nghiệp",bước đầu hình thành cơ cấu kinh tế mới then trong cả nước mà bộ phân chủ yếu là cơ câu công ? nông nghiệp,0.95,[],lichsu_12_s303_bai25_sec5_002,lichsu_12,Bài 25,1. Cách mạng Việt Nam chuyển sang giai đoạn mới,"[203, 204, 205, 206]","[""data/corpus/lichsu_12/lichsu_12.pdf_203.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_204.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_205.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_206.jpg.txt""]","nghĩa, nhâm hai mục liêu cơ bản - xây dưng một bước cơ sở và thá vật chất ? kĩ thuật của chú nghĩa xã hội, bước đầu hình thành cơ cấu kinh tế mới then trong cả nước mà bộ phân chủ yếu là cơ câu công ? nông nghiệp và cải thiên một bước đời sống vật chất và văn hoá của nhân dâng Thực hiên kế hoạch 5 năm, nhân dân ta đạt được những thành tưu quan trong - Các cơ sở nông nghiệp, công nghiệp, giao thông vân tải bị địch đánh phá về co ban đã được khôi phục đầu phát triển Trong nông nghiệp, nhờ tăng cườ",,,,,
entity,lichsu_12_s272_bai22_sec20_003:e5,Concept,cuộc kháng chiến chống Mĩ cứu nước,"Cuộc đấu tranh kiên cường, bất khuất của quân dân ta ở hai miền đất nước",cuộc kháng chiến chống Mĩ. cứu nước,0.9,[],lichsu_12_s272_bai22_sec20_003,lichsu_12,Bài 22,PHOÀ BÌNH Ở VIỆT NAM,"[183, 184, 185, 186, 187]","[""data/corpus/lichsu_12/lichsu_12.pdf_183.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_184.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_185.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_186.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_187.jpg.txt""]","n nhân về mát pháp lí quốc tế) là thắng loi của sự kết hợp giữa đấu tranh quân sư, chính trị, ngoại giao, là kết quả cuốc đấu tranh kiên cường, bất khuất của quân dân ta ở hai miền đất nước, mở ra bước ngoặt mới của cuộc kháng chiến chống Mĩ. cứu nước. Với Hiệp đinh Pan, Mi phái công nhân các quyền dân của nhân dân thiết th, ta, rút hết quân về nước. Nêu nguy nội dung cơ bán và ý nghĩa lịch sư của Hiệp đinh",,,,,
entity,lichsu_10_s92_002:e3,Concept,con em quan lại cao cấp,"Đối tượng chiếm phần lớn các quan chức cao cấp thời Lý, Trần.",con em quan lại cao cấp,0.9,[],lichsu_10_s92_002,lichsu_10,Bài,1. Tổ chức bộ máy nhà nước,"[87, 88, 89]","[""data/corpus/lichsu_10/lichsu_10.pdf_87.jpg.txt"", ""data/corpus/lichsu_10/lichsu_10.pdf_88.jpg.txt"", ""data/corpus/lichsu_10/lichsu_10.pdf_89.jpg.txt""]","ự, quân sự, an ninh. Dưới đạo là các phú, huyện, châu người người đứng đầu xã là Xã tân bâu nhang Ở thời Lý, Trần, phần lớn các quan chức cao cấp là quý tộc vương hầu hoặc can con em quan lại cao cấp. Khi giáo dục phát triển, nhà nước bắt đầu đưa những người đỗ đạt vào làm quan, Thời Lê, giáo dục thi cử trở thành nguồn đào tạo và tuyến chọn quan lại chủ yếu nha Và Vua Lê Hiến Tông (1497 - 1504) đã viết ""Nhân tài là nguyên khí của nhà nước, nguyên khí manh thì trị đao mới thình Khoa mục là đường ",,,,,
entity,lichsu_10_s51_001:e7,Concept,lãnh địa phong kiến,Đơn vị chính trị và kinh tế cơ bản trong thời kì phong kiến phân quyền ở Tây Âu.,lãnh địa phong kiến,0.95,[],lichsu_10_s51_001,lichsu_10,Bài,2. Xã hội phong kiến Tây Âu,"[55, 56, 57, 58]","[""data/corpus/lichsu_10/lichsu_10.pdf_55.jpg.txt"", ""data/corpus/lichsu_10/lichsu_10.pdf_56.jpg.txt"", ""data/corpus/lichsu_10/lichsu_10.pdf_57.jpg.txt"", ""data/corpus/lichsu_10/lichsu_10.pdf_58.jpg.txt""]","và mạnh mẽ nhất ở Vương quốc Phơ-răng Khi tràn vào lãnh thổ Rô-ma, người Giéc-man đã làm gì ? Những việc làm đó có tác động như thến o đến quá trình hình thành quan hệ sản xuất phong kiến ở châu Âu ? 2. Xã hội phong kiến Tây Âu Đến giữa thế kỉ IX, phần lớn đất đai đã được các quý tộc và nhà thờ chia nhau nghi chiếm đoạt xong. Những vùng đất đai rộng lớn đó đã nhanh chóng bị họ biến nhành thành khu đất riêng của mình ? gọi là lãnh địa phong kiến. Đây là đơn vị chính trị và kinh tế cơ bản trong th",,,,,
entity,lichsu_10_s113_001:e5,Concept,văn học dân tộc,"Từ thời Trần, văn học dân tộc ngày càng phát triển.",văn học dân tho tộc ngày càng phát triển,0.85,[],lichsu_10_s113_001,lichsu_10,Bài,2. Văn học,"[102, 103]","[""data/corpus/lichsu_10/lichsu_10.pdf_102.jpg.txt"", ""data/corpus/lichsu_10/lichsu_10.pdf_103.jpg.txt""]","được đào tạo đã góp phần quan trọng vào việc xây theng dong vự bảo về đất nước, Tuy nhiên, giáo dục Nho học không tạo điều kiện cho sự phát triển kinh tế. B Việc dựng bia Tiến sĩ có tác dụng gì ? 2. Văn học Sự phát triển giáo dục góp phần păn văn học. Ban đầu, văn học mang nặng tư tưởng Phật giáo Từ thời Trần, văn học dân tho tộc ngày càng phát triển, Hàng loạt bài thơ, bài hịch, bài phú nổi tiếng như Nam quốc sơn hà, Hịch tướng sĩ, Bạch Đằng giang phú, v.v.. cùng hàng loạt tập thơ chữ Hán đã ra",,,,,
entity,lichsu_10_s165_002:e10,Concept,tình yêu Tổ quốc,Cảm xúc được khắc sâu trong lòng người dân Việt Nam.,khác sâu thêm tình yêu Tổ quốc thiết trong lòng người dân Việt Nam,0.9,[],lichsu_10_s165_002,lichsu_10,Bài,1. Sự hình thành của truyền thống yêu nước Việt Nam,"[137, 138, 139]","[""data/corpus/lichsu_10/lichsu_10.pdf_137.jpg.txt"", ""data/corpus/lichsu_10/lichsu_10.pdf_138.jpg.txt"", ""data/corpus/lichsu_10/lichsu_10.pdf_139.jpg.txt""]","ợc lan truyền rộng khắp cùng với việc xây dựng miều thờ các và vị anh hùng chống đô hộ đã thực sự găn kết, khắc sâu lòng yêu nước của người dân Việt để từ đó hình thành truyền thống yêu nước Việt Nam. B Phân tích những biểu hiện của lòng yêu nước Việt Nam qua các cuộc khới nghĩa thời Bắc thuộc. 2, Phát triển và tôi luyên truyền thống yêu nước trong các thế kỉ phong kiến độc lập Thế kỉ X, đất nước trở lại độc lập, tự chủ với lãnh thổ, tiếng nói, phong tục tập quán, tín ngưỡng riêng, cổ truyền. Đó",,,,,
entity,lichsu_10_s171_001:e4,Concept,lực lượng phong kiến cũ,Lực lượng mà Quốc hội đã thỏa hiệp.,lực lượng phong kiến cũ,0.95,[],lichsu_10_s171_001,lichsu_10,Bài,BIỂN MĂNG-SƠ PHÁP,"[142, 143, 144, 145]","[""data/corpus/lichsu_10/lichsu_10.pdf_142.jpg.txt"", ""data/corpus/lichsu_10/lichsu_10.pdf_143.jpg.txt"", ""data/corpus/lichsu_10/lichsu_10.pdf_144.jpg.txt"", ""data/corpus/lichsu_10/lichsu_10.pdf_145.jpg.txt""]","thế giới, diễn ra dưới hình thức chiến tranh giả thời đại của các cuộc cách mạng tư sản và bước đầu suy vong của chế độ phong kiến. B Hấy nều đặc điểm tình hình kinh tế, xã đéc-lan trước cách mạng BIỂN MĂNG-SƠ PHÁP Nhi lư vàng ủng hộ nha vua "" Vũng ủng họ Quốc hội Sau khi Crôm-oen qua đời (1658), nước Anh lâm vào tình trạng không ổn định về chính trị, dẫn đến sự thoả hiệp giữa Quốc hội với lực lượng phong kiến cũ. Tháng 12 8 , 1688 Quốc hội đã tiến hành biến, đưa Vin-hem Ô-ran-giơ (Quốc trưởng H",,,,,
entity,lichsu_10_s59_002:e3,Concept,giai cấp chủ nô,"giai cấp bóc lột, thống trị trong xã hội chiếm nô","Ngày làm thành giai cấp chủ nô và là giai cấp bóc lột, thông trị",0.95,[],lichsu_10_s59_002,lichsu_10,Bài,2. Xã hội cổ đại,"[66, 67]","[""data/corpus/lichsu_10/lichsu_10.pdf_66.jpg.txt"", ""data/corpus/lichsu_10/lichsu_10.pdf_67.jpg.txt""]","tê xuất hiện Thi quốc ra nhang đời và hoạt động nhộn nhịp Nhi nô lệ trở thành người sản xuất chính, Xã hội chiếm nô là một hình thức xã hà nha hội bóc lột chủ yếu những người nô lệ, Chủ các xãng buôn. Ngày làm thành giai cấp chủ nô và là giai cấp bóc lột, thông trị. Tâng lớp những người nhiều the trong bình dân không có vai trò chủ yếu trong sản xuất cũng như trong đời sống xã hội. nhiều Xã Xã hội chiếm nô phát triển cao và nhanh hơn xã hội cố đại phương Đông, bắt và ngày đầu khoảng gân 1000 năm",,,,,
entity,lichsu_12_s114_bai11_sec5_002:e9,Concept,cách mạng kĩ thuật,Tác động to lớn đến xu hướng liên kết kinh tế khu vực của các nước tư bản,dưới tác đông to lớn của cách mạng kĩ thuật,0.95,[],lichsu_12_s114_bai11_sec5_002,lichsu_12,Bài 11,"1. Sau Chiến tranh thế giới thứ hai, một trật tư thế giới mói đã được xác lập. Đó","[71, 72, 73]","[""data/corpus/lichsu_12/lichsu_12.pdf_71.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_72.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_73.jpg.txt""]",". Hệ thống thuộc địa và chế độ phân biết chủng tốc (Apacthai) kéo dài từ nhiều thế kỉ đã bị sụp đổ hoàn toàn Thắng lợi có ý nghĩa lịch sử đó đã đưa tới sự ra đời của hơn 100 quốc gia độc lập trẻ tuổi. Bản đồ chính tri thế giới có những thay đổi to lớn và sâu sắc, Các quốc ngày gia độc lập ngày càng tích cực tham gia và có vai trò quan trong trong đời sống chiến chính trị thế giới với ý chí chông chủ nghĩa thực dân, vì hoà bình thế giới, đốc triện lập dân tộc và tiến bộ xã hội. Sau khi giành được",,,,,
entity,lichsu_12_s114_bai11_sec5_001:e3,Concept,phe tư bản chủ nghĩa,Một trong hai phe của trật tự thế giới hai cực Ianta.,thế giới bị chia thành hai phe - tư bản chủ nghĩa,0.95,[],lichsu_12_s114_bai11_sec5_001,lichsu_12,Bài 11,"1. Sau Chiến tranh thế giới thứ hai, một trật tư thế giới mói đã được xác lập. Đó","[71, 72, 73]","[""data/corpus/lichsu_12/lichsu_12.pdf_71.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_72.jpg.txt"", ""data/corpus/lichsu_12/lichsu_12.pdf_73.jpg.txt""]","sau thế kí XX mà loài người vừa mới trải qua Chí trong vòng nửa thế ki, tỉnh hình thế giới đã thật sôi đông với bao diên biến dồn dập, đem lại nhưng thay đổi to lớn và cả những đảo lôn đầy bất ngờ 1. Sau Chiến tranh thế giới thứ hai, một trật tư thế giới mói đã được xác lập. Đó là trật tự thế giới hai cực lanta với đặc trưng nổi bật là thế giới bị chia thành hai phe - tư bản chủ nghĩa và xã hội chủ nghĩa, do hai siêu cường Mĩ và Liên Xô đứng đầu dỗu mỗi phe. Đặc trưng hai cực ? hai phe đó là nhâ",,,,,
